model,quintile,i2t_n,i2t_R@1,i2t_lo,i2t_hi,t2i_n,t2i_R@1,t2i_lo,t2i_hi,diff_i2t_minus_t2i,diff_lo,diff_hi,i2t > t2i,diff_significant
openai_clip_b32,Q1 (mildest),3000,0.5276666666666666,0.5096583333333334,0.546,3021,0.42270771267792123,0.4054865938430983,0.4395895398874545,0.10495895398874538,0.07933313472360148,0.13020531281032763,True,True
openai_clip_b32,Q2,3000,0.5206666666666667,0.503325,0.5383416666666666,2988,0.37382864792503345,0.35708668005354754,0.39123159303882193,0.14683801874163327,0.12276750334672018,0.17223286479250335,True,True
openai_clip_b32,Q3,3000,0.5163333333333333,0.49930833333333335,0.5336666666666666,3154,0.26252377932783766,0.24761414077362082,0.27742549143944195,0.25380955400549565,0.23212521137180295,0.2796963009934475,True,True
openai_clip_b32,Q4,3000,0.48933333333333334,0.4713333333333333,0.508,2837,0.14698625308424393,0.13359182234755024,0.15967571378216425,0.34234708024908944,0.3215647397485607,0.36399698919045936,True,True
openai_clip_b32,Q5 (most damaged),3000,0.448,0.42966666666666664,0.4666666666666667,3000,0.05633333333333333,0.047991666666666676,0.06466666666666666,0.39166666666666666,0.3736583333333333,0.41034166666666666,True,True
openai_clip_l14,Q1 (mildest),3000,0.5593333333333333,0.5413250000000001,0.5773333333333334,3021,0.4611055941741145,0.4438927507447865,0.47965905329361136,0.09822773915921884,0.0723084988414433,0.12412346904998345,True,True
openai_clip_l14,Q2,3000,0.566,0.5469916666666668,0.5833416666666666,2988,0.40127175368139223,0.38186077643908967,0.4183400267737617,0.16472824631860772,0.1403274096385542,0.18979554886211514,True,True
openai_clip_l14,Q3,3000,0.5596666666666666,0.5413250000000001,0.576,3154,0.28820545339251746,0.27266169942929613,0.304066265060241,0.2714612132741492,0.24709528640879305,0.29629904354259146,True,True
openai_clip_l14,Q4,3000,0.5456666666666666,0.5273333333333333,0.5633333333333334,2837,0.1663729291505111,0.15368346845259076,0.1797673598872048,0.3792937375161555,0.35664171366466924,0.40233654975913524,True,True
openai_clip_l14,Q5 (most damaged),3000,0.519,0.5006583333333334,0.5373333333333333,3000,0.058666666666666666,0.05,0.067,0.46033333333333337,0.44033333333333335,0.4806666666666667,True,True
openclip_l14_laion2b,Q1 (mildest),3000,0.6543333333333333,0.637325,0.6726666666666666,3021,0.5796094008606422,0.5627192982456141,0.5978235683548494,0.07472393247269116,0.05010205230056274,0.09927277391592189,True,True
openclip_l14_laion2b,Q2,3000,0.6533333333333333,0.6366666666666667,0.6706833333333333,2988,0.5137215528781793,0.4966532797858099,0.5311244979919679,0.139611780455154,0.11524002677376173,0.1640740294511379,True,True
openclip_l14_laion2b,Q3,3000,0.627,0.6096583333333334,0.6433416666666666,3154,0.37064045656309447,0.35351934051997463,0.38776157260621436,0.25635954343690553,0.23173246670894107,0.28099668674698797,True,True
openclip_l14_laion2b,Q4,3000,0.6026666666666667,0.5846666666666667,0.6206666666666667,2837,0.23475502291152625,0.2195981670778992,0.25026436376454003,0.3679116437551404,0.34551375866525674,0.39067857772294673,True,True
openclip_l14_laion2b,Q5 (most damaged),3000,0.5473333333333333,0.5306583333333333,0.5643416666666666,3000,0.075,0.065325,0.08500833333333334,0.4723333333333333,0.45233333333333337,0.49168333333333336,True,True
pecore_l14_336,Q1 (mildest),3000,0.7156666666666667,0.699,0.7313333333333333,3021,0.643164515061238,0.6266054286660047,0.6597153260509765,0.07250215160542872,0.049262603442568685,0.09479666501158548,True,True
pecore_l14_336,Q2,3000,0.6983333333333334,0.6816583333333334,0.713675,2988,0.5833333333333334,0.5665913654618474,0.6007446452476574,0.11499999999999999,0.09236773761713514,0.13707911646586346,True,True
pecore_l14_336,Q3,3000,0.702,0.6863333333333334,0.7183333333333334,3154,0.42897907419150283,0.41217501585288524,0.4461001902346227,0.27302092580849713,0.24969341048404145,0.2990389928133587,True,True
pecore_l14_336,Q4,3000,0.693,0.677,0.709,2837,0.26894606979203384,0.2516743038420867,0.28516038068382094,0.4240539302079661,0.40138294853718715,0.4468968981318294,True,True
pecore_l14_336,Q5 (most damaged),3000,0.6656666666666666,0.649,0.6826666666666666,3000,0.085,0.07566666666666666,0.09534166666666667,0.5806666666666667,0.5613333333333332,0.6,True,True
siglip2_so400m_384,Q1 (mildest),3000,0.7073333333333334,0.6893333333333334,0.724,3021,0.6580602449520027,0.6434955312810328,0.6739490235021516,0.04927308838133071,0.02503695796094009,0.07120299569678915,True,True
siglip2_so400m_384,Q2,3000,0.6953333333333334,0.6793250000000001,0.7103333333333334,2988,0.5930388219544847,0.5766398929049531,0.6101070950468541,0.10229451137884871,0.0772382530120482,0.1259913319946453,True,True
siglip2_so400m_384,Q3,3000,0.6973333333333334,0.6806583333333334,0.714,3154,0.4410272669625872,0.424215282181357,0.45878249841471147,0.25630606637074616,0.23253974318325935,0.28132995138448535,True,True
siglip2_so400m_384,Q4,3000,0.6763333333333333,0.66,0.693,2837,0.2774057102573141,0.2608389143461403,0.29362883327458583,0.39892762307601926,0.37655827458583013,0.4233120931735401,True,True
siglip2_so400m_384,Q5 (most damaged),3000,0.6473333333333333,0.6293333333333333,0.6630083333333333,3000,0.09,0.07966666666666666,0.10033333333333333,0.5573333333333333,0.5363166666666667,0.5766749999999999,True,True
