corruption_type,severity,Q4_count,Q4_fraction,Q5_count,Q5_fraction
gaussian_noise,1,370,0.008,0,0.0
gaussian_noise,2,7725,0.172,2195,0.049
gaussian_noise,3,5520,0.123,7995,0.178
gaussian_noise,4,1615,0.036,13270,0.295
gaussian_noise,5,135,0.003,14865,0.33
gaussian_blur,1,0,0.0,0,0.0
gaussian_blur,2,190,0.004,0,0.0
gaussian_blur,3,3385,0.075,585,0.013
gaussian_blur,4,5295,0.118,2365,0.053
gaussian_blur,5,5885,0.131,3725,0.083
cutout,1,0,0.0,0,0.0
cutout,2,0,0.0,0,0.0
cutout,3,0,0.0,0,0.0
cutout,4,0,0.0,0,0.0
cutout,5,14875,0.331,0,0.0
