model,direction,mean,lo,hi
openai_clip_b32,i2t,0.5256666666666666,0.5066666666666667,0.545
openai_clip_b32,t2i,0.494,0.4706666666666666,0.5173333333333333
openai_clip_l14,i2t,0.556,0.5376666666666666,0.575
openai_clip_l14,t2i,0.5286666666666666,0.5066666666666667,0.5496666666666666
openclip_l14_laion2b,i2t,0.6473333333333333,0.6286666666666667,0.6656666666666667
openclip_l14_laion2b,t2i,0.6553333333333333,0.637,0.673
siglip2_so400m_384,i2t,0.697,0.6803333333333333,0.714
siglip2_so400m_384,t2i,0.72,0.7026666666666666,0.737
pecore_l14_336,i2t,0.703,0.685,0.7210000000000001
pecore_l14_336,t2i,0.71,0.6853333333333333,0.735
