model,pool_type,drop,sev1,sev5
openai_clip_b32,standard,0.08328828407407408,0.14373778370370371,0.06044949962962963
openai_clip_b32,mean,0.0548385337037037,0.10040941222222222,0.045570878518518515
openai_clip_l14,standard,0.09346537851851851,0.16027721,0.0668118314814815
openai_clip_l14,mean,0.05336536518518519,0.09867163000000001,0.04530626481481482
openclip_l14_laion2b,standard,0.14615350666666665,0.2646198125925926,0.11846630592592594
openclip_l14_laion2b,mean,0.09188647074074076,0.16687039111111113,0.07498392037037037
siglip2_so400m_384,standard,0.11232226703703703,0.1950023551851852,0.08268008814814816
siglip2_so400m_384,mean,0.028188636296296293,0.04948018074074074,0.021291544444444446
pecore_l14_336,standard,0.11802023370370365,0.21337137185185182,0.09535113814814816
pecore_l14_336,mean,0.08970180740740741,0.1612477437037037,0.0715459362962963
